,tdate,TPepi,TPhypo,TPlake
0,20080101,32.35,32.35,32.35
1,20080201,32.20846266306002,32.20846266306002,32.20846266306002
2,20080301,31.46300067445009,31.46300067445009,31.46300067445009
3,20080401,31.943977351506422,31.463000674450086,31.703489012978253
4,20080501,3.6235754734293444,41.4302765328152,22.52692600312227
5,20080601,0.0,43.17849260567583,21.589246302837914
6,20080701,0.0,43.15555266305712,21.57777633152856
7,20080801,7.499027887011115,43.13104091473645,25.315034400873785
8,20080901,4.07399909544321,46.26869448193559,25.1713467886894
9,20081001,25.39324675900052,48.284972201739315,36.83910948036991
10,20081101,12.13933840286695,58.512774478731444,35.3260564407992
11,20081201,24.68764175662783,67.06971430397512,45.87867803030147
12,20090101,36.43286190720943,36.43286190720943,36.43286190720943
13,20090201,36.81534203078145,36.81534203078145,36.81534203078145
14,20090301,36.69913585246692,36.69913585246692,36.69913585246692
15,20090401,39.08084447081594,39.08084447081594,39.08084447081594
16,20090501,32.5431643067382,39.08084447081594,35.81200438877707
17,20090601,0.0,49.47425372596104,24.73712686298052
18,20090701,13.696886416749866,49.44610134075753,31.5714938787537
19,20090801,12.032255168488396,53.090957141013554,32.561606154750976
20,20090901,0.0,58.12044303074496,29.06022151537248
21,20091001,9.51033974370657,58.084738303158716,33.79753902343264
22,20091101,6.98142874121076,62.779630118314074,34.88052942976242
23,20091201,15.044604441207037,66.47755518494033,40.761079813073685
24,20100101,40.96805467908006,40.96805467908006,40.96805467908006
25,20100201,29.538486348789366,40.96805467908006,35.253270513934716
26,20100301,32.36842443833148,32.36842443833148,32.36842443833148
27,20100401,31.164795630919045,31.164795630919045,31.164795630919045
28,20100501,21.474899598677915,31.16479563091905,26.319847614798483
29,20100601,0.0,38.57446906709319,19.287234533546595
30,20100701,47.96014623402026,37.31083599138778,42.63549111270402
31,20100801,0.0,53.181203941341906,26.590601970670953
32,20100901,13.136284668671854,53.1503997768923,33.143342222782074
33,20101001,3.980111702050478,58.19322190878139,31.086666805415934
34,20101101,18.677895067143716,60.519142736586886,39.598518901865305
