,tdate,TPepi,TPhypo,TPlake
0,19850401,206.28571428571428,206.28571428571428,206.28571428571428
1,19850501,196.308827009443,206.28571428571428,201.29727064757864
2,19850601,46.94166240316195,230.26170566209552,138.60168403262873
3,19850701,25.062302929459772,240.4811358396013,132.77171938453054
4,19850801,14.993983129431468,248.11386137351343,131.55392225147244
5,19850901,14.789954488241877,254.26708374592258,134.52851911708223
6,19851001,0.0,260.0909433348359,130.04547166741796
7,19851101,81.04655577346456,263.72513593198084,172.3858458527227
8,19851201,148.13765596510987,295.1427428523174,221.6401994087136
9,19860101,183.23638967485599,183.23638967485599,183.23638967485599
10,19860201,182.8371528134186,182.8371528134186,182.8371528134186
11,19860301,153.72321373042755,182.8371528134186,168.28018327192308
12,19860401,159.33468811455586,159.33468811455586,159.33468811455586
13,19860501,171.7198605524163,159.33468811455586,165.52727433348608
14,19860601,60.405730286407376,184.19207925203503,122.2989047692212
15,19860701,30.8755959969934,191.5211224798771,111.19835923843526
16,19860801,6.263712285118356,199.88003633087513,103.07187430799674
17,19860901,29.09661447732106,204.55196467251483,116.82428957491794
18,19861001,32.895092577245315,213.16407190365337,123.02958224044934
19,19861101,47.3143320567061,223.4166228434316,135.36547745006885
20,19861201,84.54823205279483,238.74598010723656,161.6471060800157
21,19870101,148.705807224474,148.705807224474,148.705807224474
22,19870201,132.22408083046693,148.705807224474,140.46494402747047
23,19870301,0.0,165.51038669410553,82.75519334705277
24,19870401,0.0,168.30563400473974,84.15281700236987
25,19870501,34.52746883927301,171.09769405604678,102.8125814476599
26,19870601,33.58259809059743,180.10269682456425,106.84264745758084
27,19870701,59.25518551689613,178.53589322475062,118.89553937082337
28,19870801,48.75097650108582,191.32310490421372,120.03704070264978
29,19870901,25.142460888140974,202.58381738728085,113.8631391377109
30,19871001,36.59236224083324,210.29683449268165,123.44459836675745
31,19871101,61.11084395085763,221.3637949102728,141.2373194305652
32,19871201,92.13789880218502,239.29610869190435,165.71700374704469
33,19880101,151.66335686686,151.66335686686,151.66335686686
34,19880201,149.03805121603267,149.03805121603267,149.03805121603267
35,19880301,147.21238323480108,147.21238323480108,147.21238323480108
36,19880401,151.92172336511118,151.92172336511118,151.92172336511118
37,19880501,139.67002127445505,151.92172336511118,145.79587231978311
38,19880601,24.844882593579094,173.6445824607901,99.2447325271846
39,19880701,27.502515778869228,181.0358135390906,104.26916465897992
40,19880801,0.0,188.95050979515835,94.47525489757918
41,19880901,4.959285468898647,192.06829228983932,98.51378887936899
42,19881001,23.5024196640127,196.5112277535104,110.00682370876156
43,19881101,48.416925838687504,205.14482718676112,126.78087651272432
44,19881201,92.40993524399683,222.95382095846412,157.68187810123047
45,19890101,139.31005962171733,139.31005962171733,139.31005962171733
46,19890201,136.71317645462935,136.71317645462935,136.71317645462935
47,19890301,134.57141890934545,134.57141890934545,134.57141890934545
48,19890401,119.07764333207628,134.57141890934545,126.82453112071087
49,19890501,63.229575901306234,155.42129773664837,109.3254368189773
50,19890601,3.8057646712240083,161.57246991258592,82.68911729190496
51,19890701,1.0159350597198853,165.56032443694872,83.2881297483343
52,19890801,0.0,163.2514010649638,81.6257005324819
53,19890901,22.763781880340577,166.49644728843424,94.63011458438741
54,19891001,32.184449368988496,174.28356760821697,103.23400848860274
55,19891101,48.00398679540274,185.06251061260923,116.53324870400598
56,19891201,73.90003202935615,202.10281383982243,138.0014229345893
57,19900101,118.01403657084272,118.01403657084272,118.01403657084272
58,19900201,115.64513799208528,115.64513799208528,115.64513799208528
59,19900301,114.75515344602255,114.75515344602255,114.75515344602255
60,19900401,102.58596204251843,114.75515344602255,108.6705577442705
61,19900501,0.0,130.23817833339595,65.11908916669798
62,19900601,13.167143072036355,133.20577789337258,73.18646048270448
63,19900701,0.0,138.5194145672137,69.25970728360684
64,19900801,25.497620787719885,141.64872409276268,83.57317244024128
65,19900901,3.732339935479697,149.5571977363769,76.6447688359283
66,19901001,14.419890130058056,153.761972803043,84.09093146655053
67,19901101,39.072414828046874,161.0080670804831,100.04024095426499
68,19901201,77.00287425676352,176.45485573351866,126.7288649951411
69,19910101,109.76208520285674,109.76208520285674,109.76208520285674
70,19910201,109.24682905644191,109.24682905644191,109.24682905644191
71,19910301,107.25515592805039,107.25515592805039,107.25515592805039
72,19910401,105.48681662182351,105.48681662182351,105.48681662182351
73,19910501,92.41621167034862,105.48681662182351,98.95151414608605
74,19910601,22.04643971088949,121.2832431516076,71.66484143124855
75,19910701,31.307652777766506,128.38519582752915,79.84642430264782
76,19910801,0.0,136.88386882882835,68.44193441441418
77,19910901,0.0,140.03180989931803,70.01590494965902
78,19911001,0.0,143.13559858379816,71.56779929189908
79,19911101,28.538673877304827,146.78760059199533,87.66313723465008
80,19911201,56.173070900024854,158.40784341020512,107.29045715511498
81,19920101,100.2223272357597,100.2223272357597,100.2223272357597
82,19920201,81.2712166982937,100.2223272357597,90.7467719670267
83,19920301,87.15786645089607,87.15786645089607,87.15786645089607
84,19920401,87.3424404400589,87.3424404400589,87.3424404400589
85,19920501,82.11154964920743,87.3424404400589,84.72699504463316
86,19920601,0.0,102.2371721483336,51.1185860741668
87,19920701,0.0,105.24347253046692,52.62173626523346
88,19920801,14.540840030047926,104.68008396137589,59.61046199571191
89,19920901,0.0,110.71984923627141,55.35992461813571
90,19921001,11.570418553601053,113.8907191977252,62.73056887566313
91,19921101,45.824852175660524,120.69656572904383,83.26070895235218
92,19921201,59.354183100732165,135.52264432704104,97.4384137138866
93,19930101,91.47642631936169,91.47642631936169,91.47642631936169
94,19930201,89.62738628587346,89.62738628587346,89.62738628587346
95,19930301,87.63232381770136,87.63232381770136,87.63232381770136
96,19930401,80.34994270245677,87.63232381770136,83.99113326007907
97,19930501,8.416969453010555,100.92464470201587,54.67080707751321
98,19930601,4.849727008524619,105.89865492271969,55.374190965622155
99,19930701,0.0,110.12988238269223,55.064941191346115
100,19930801,40.61416975487092,113.3547873304232,76.98447854264707
101,19930901,10.350814424705227,123.54228017628371,66.94654730049447
102,19931001,23.92199633665867,129.40252856990887,76.66226245328377
103,19931101,45.92973363669978,139.70106885902837,92.81540124786407
104,19931201,73.6653985113803,169.19995870573132,121.43267860855582
105,19940101,90.32447135145962,90.32447135145962,90.32447135145962
106,19940201,91.88606599158028,91.88606599158028,91.88606599158028
107,19940301,90.59169720986671,90.59169720986671,90.59169720986671
108,19940401,79.43825810249395,90.59169720986671,85.01497765618032
109,19940501,0.0,103.61623305672278,51.80811652836139
110,19940601,130.69612841089483,106.69964000618788,118.69788420854135
111,19940701,30.993555398569203,126.49944977549946,78.74650258703433
112,19940801,2.2362384489690372,135.08184735978895,68.65904290437899
